,Week,Sales,HoursUsed,MobCO,MobDI,MobDT,Mobile Sales,3rdParty,NormDT,CarryO,DineIn,Catering,WeekYr,WeekNum,Productivity,Time
0,1,125836.82,2018.28,7434,1238,6958,15630,0,76008,12935.0,19067.0,2197,2019,45,62.34854430505183,Before
1,2,126169.87,1931.96,8179,1016,7888,17083,0,74817,13882.0,18766.0,1621,2019,46,65.30666783991387,Before
2,3,130949.97,1961.31,9309,1087,7695,18091,0,79235,12819.0,18002.0,2801,2019,47,66.76658457867445,Before
3,4,98556.8,1616.51,5851,454,5438,11743,0,60434,10312.0,14509.0,1557,2019,48,60.968877396366246,Before
4,5,128648.25,1944.4,7829,871,7137,15837,0,78364,14418.0,17617.0,2411,2019,49,66.1634694507303,Before
5,6,134611.88,1987.98,8060,1159,8087,17306,0,81339,15743.0,17759.0,2465,2019,50,67.71289449592048,Before
6,7,137931.66,2058.6,9080,999,7316,17395,0,82617,15442.0,17973.0,4504,2019,51,67.0026522879627,Before
7,8,98336.56,1475.5,6180,625,5300,12105,0,58439,10728.0,15119.0,1946,2019,52,66.64626228397154,Before
8,9,111412.63,1739.1,6525,1036,5815,13376,0,65663,11527.0,19590.0,1257,2020,1,64.06338335920879,Before
9,10,120144.74,1846.63,7646,1015,6812,15473,0,75033,10578.0,16980.0,2081,2020,2,65.0616203570829,Before
10,11,120890.11,1801.21,7559,1432,6835,15826,0,72163,13107.0,18728.0,1065,2020,3,67.11605531836932,Before
11,12,124143.74,1855.66,8324,1691,7755,17770,0,70682,11939.0,19062.0,4690,2020,4,66.90004634469676,Before
12,13,122794.31,1846.58,6449,1264,8852,16565,1801.0,72919,12409.0,17226.0,1875,2020,5,66.49823457418579,Before
13,14,117421.37,1789.86,5586,1192,7602,14380,2022.0,72110,12088.0,15032.0,1791,2020,6,65.60366173890695,Before
14,15,118343.59,1793.33,5971,883,6958,13812,1639.0,73035,12233.0,16059.0,1559,2020,7,65.99097210217863,Before
15,16,122036.56,1814.68,6229,1713,8263,16205,1892.0,72372,12213.0,18075.0,1280,2020,8,67.24963078889941,Before
16,17,125188.19,1855.68,6426,1567,7750,15743,2010.0,75848,12769.0,17180.0,1640,2020,9,67.46216481289878,Before
17,18,128334.95,1956.06,6677,1406,8419,16502,2377.0,74775,14226.0,16738.0,3718,2020,10,65.60890258990011,Before
18,19,127679.69,1897.0,6932,1230,8687,16849,2328.0,78163,12541.0,15314.0,2486,2020,11,67.30610964681075,Before
